complex,adjustment,param_value,time,ATP
Complex IV,0,0,0,0
Complex IV,0,0,9.88731394267737e-08,4.47923840651609e-06
Complex IV,0,0,1.07771721975183e-07,8.87368169007885e-06
Complex IV,0,0,1.16670304523593e-07,1.31829868206406e-05
Complex IV,0,0,1.25568887072003e-07,2.44399079947224e-05
Complex IV,0,0,1.3149690323794e-07,3.51304720017463e-05
Complex IV,0,0,1.37424919403877e-07,4.52651437815114e-05
Complex IV,0,0,1.4131184104122e-07,5.48645725575746e-05
Complex IV,0,0,1.45198762678563e-07,9.75551822103303e-05
Complex IV,0,0,1.49085684315906e-07,0.000129303731719715
Complex IV,0,0,1.50743385006969e-07,0.000152431282817438
Complex IV,0,0,1.52401085698032e-07,0.000168886168527364
Complex IV,0,0,1.54058786389096e-07,0.000184934588611142
Complex IV,0,0,1.55716487080159e-07,0.000192065229473012
Complex IV,0,0,1.62714477828822e-07,0.000193596653767012
Complex IV,0,0,1.69712468577485e-07,0.000191556643399597
Complex IV,0,0,1.76710459326149e-07,0.00018723214275838
Complex IV,0,0,1.99135547896264e-07,0.000184618335503012
Complex IV,0,0,2.21560636466379e-07,0.000181741470219224
Complex IV,0,0,2.43985725036494e-07,0.000178669320401319
Complex IV,0,0,2.66410813606609e-07,0.000175460292298651
Complex IV,0,0,3.12647403776984e-07,0.00017447853631174
Complex IV,0,0,3.58883993947359e-07,0.000173489208810036
Complex IV,0,0,4.05120584117734e-07,0.000172493153064996
Complex IV,0,0,4.51357174288109e-07,0.000171491281109814
Complex IV,0,0,4.97593764458484e-07,0.000170484436754225
Complex IV,0,0,5.64618398960261e-07,0.00016887947199525
Complex IV,0,0,6.31643033462038e-07,0.000167266620938054
Complex IV,0,0,6.98667667963816e-07,0.000165648297985647
Complex IV,0,0,7.65692302465593e-07,0.000164026757072431
Complex IV,0,0,8.3271693696737e-07,0.000153430611763328
Complex IV,0,0,9.02080602259131e-07,0.000143131538201326
Complex IV,0,0,9.71444267550891e-07,0.000133332393339593
Complex IV,0,0,1.04080793284265e-06,0.000124136688320902
Complex IV,0,0,1.11017159813441e-06,0.000111006055925106
Complex IV,0,0,1.17953526342617e-06,9.93833093091299e-05
Complex IV,0,0,1.29275055143368e-06,8.91233799821137e-05
Complex IV,0,0,1.40596583944119e-06,8.00623551444066e-05
Complex IV,0,0,1.5191811274487e-06,7.20603241722692e-05
Complex IV,0,0,1.63239641545621e-06,7.18129421277767e-05
Complex IV,0,0,1.74561170346373e-06,7.17389434028229e-05
Complex IV,0,0,1.99146385372603e-06,7.16650391929098e-05
Complex IV,0,0,2.23731600398833e-06,7.15912269969468e-05
Complex IV,0,0,2.48316815425064e-06,7.15175062455686e-05
Complex IV,0,0,2.72902030451294e-06,7.14438770789807e-05
Complex IV,0,0,2.97487245477525e-06,7.07598205766946e-05
Complex IV,0,0,3.47955056656131e-06,7.00836791204748e-05
Complex IV,0,0,3.98422867834737e-06,6.94153657601472e-05
Complex IV,0,0,4.48890679013343e-06,6.87547894540562e-05
Complex IV,0,0,4.99358490191949e-06,6.45321592675637e-05
Complex IV,0,0,5.49826301370555e-06,6.0624623177167e-05
Complex IV,0,0,6.82678126756533e-06,5.70096456341583e-05
Complex IV,0,0,8.15529952142512e-06,5.36653015532247e-05
Complex IV,0,0,9.48381777528491e-06,5.11349508868705e-05
Complex IV,0,0,1.08123360291447e-05,5.04068008720035e-05
Complex IV,0,0,1.21408542830045e-05,4.96923608953161e-05
Complex IV,0,0,1.61119667558821e-05,4.89913199125816e-05
Complex IV,0,0,1.73033004977454e-05,4.83034138962352e-05
Complex IV,0,0,1.84946342396087e-05,4.76284009762369e-05
Complex IV,0,0,1.9685967981472e-05,4.57983343356823e-05
Complex IV,0,0,2.0043368104031e-05,4.40629292148688e-05
Complex IV,0,0,2.040076822659e-05,4.24174518032451e-05
Complex IV,0,0,2.06795158182553e-05,4.08572436891518e-05
Complex IV,0,0,2.07631400957549e-05,3.97684845955776e-05
Complex IV,0,0,2.08467643732544e-05,3.87212235575865e-05
Complex IV,0,0,2.0930388650754e-05,3.77138732110664e-05
Complex IV,0,0,2.09554759340039e-05,3.67449215979666e-05
Complex IV,0,0,2.09805632172538e-05,3.65949520210209e-05
Complex IV,0,0,2.10056505005037e-05,3.64458940489052e-05
Complex IV,0,0,2.10131766854786e-05,3.6297747411481e-05
Complex IV,0,0,2.10207028704536e-05,3.61505089602715e-05
Complex IV,0,0,2.10282290554286e-05,3.47544546981035e-05
Complex IV,0,0,2.1030486910921e-05,3.34386518269449e-05
Complex IV,0,0,2.10327447664135e-05,3.21997202498978e-05
Complex IV,0,0,2.1035002621906e-05,3.09815348283678e-05
Complex IV,0,0,2.10356799785538e-05,2.98312398822563e-05
Complex IV,0,0,2.10363573352015e-05,2.87497493147359e-05
Complex IV,0,0,2.10370346918493e-05,2.77346339438123e-05
Complex IV,0,0,2.1037712048497e-05,2.6908151038342e-05
Complex IV,0,0,2.10379152554913e-05,2.66691041902348e-05
Complex IV,0,0,2.10381184624857e-05,2.64339504462566e-05
Complex IV,0,0,2.103832166948e-05,2.62026358167772e-05
Complex IV,0,0,2.10383826315783e-05,2.59751039756288e-05
Complex IV,0,0,2.10384435936766e-05,2.46684318047983e-05
Complex IV,0,0,2.10385045557749e-05,2.34848391330027e-05
Complex IV,0,0,2.10385655178732e-05,2.24142222210592e-05
Complex IV,0,0,2.10385838065027e-05,2.20282066447604e-05
Complex IV,0,0,2.10386020951322e-05,2.16575282934643e-05
Complex IV,0,0,2.10386203837616e-05,2.13010681055024e-05
Complex IV,0,0,2.10386258703505e-05,2.05310799686654e-05
Complex IV,0,0,2.10386313569393e-05,1.98260274979225e-05
Complex IV,0,0,2.10386368435282e-05,1.96223019685543e-05
Complex IV,0,0,2.1038642330117e-05,1.94244056720752e-05
Complex IV,0,0,2.10386439760937e-05,1.92319066514973e-05
Complex IV,0,0,2.10386444698867e-05,1.92318938105908e-05
Complex IV,0,0,2.10386449636797e-05,1.92318809785212e-05
Complex IV,0,0,2.10386454574727e-05,1.92318681478511e-05
Complex IV,0,0,2.10386459512657e-05,1.92318646836309e-05
Complex IV,0,0,2.10386460994036e-05,1.92318612194215e-05
Complex IV,0,0,2.10386462475415e-05,1.92318601801593e-05
Complex IV,0.05,1.6281e-06,0,0
