complex,adjustment,param_value,time,ATP
Complex V,0,0,2.23731600398833e-06,7.34464214132695e-05
Complex V,0,0,2.48316815425064e-06,7.17211434589338e-05
Complex V,0,0,2.72902030451294e-06,7.004449640698e-05
Complex V,0,0,2.97487245477525e-06,6.78730866503737e-05
Complex V,0,0,3.47955056656131e-06,6.57832617677991e-05
Complex V,0,0,3.98422867834737e-06,6.37719936983821e-05
Complex V,0,0,4.48890679013343e-06,6.18363349131688e-05
Complex V,0,0,4.99358490191949e-06,5.99164463376475e-05
Complex V,0,0,5.49826301370555e-06,5.80709476436106e-05
Complex V,0,0,6.82678126756533e-06,5.6296962755948e-05
Complex V,0,0,8.15529952142512e-06,5.45917231733739e-05
Complex V,0,0,9.48381777528491e-06,5.25452520557012e-05
Complex V,0,0,1.08123360291447e-05,5.05977878786127e-05
Complex V,0,0,1.21408542830045e-05,4.87445713883599e-05
Complex V,0,0,1.61119667558821e-05,4.69810356352632e-05
Complex V,0,0,1.73033004977454e-05,4.66233432315584e-05
Complex V,0,0,1.84946342396087e-05,4.62693102091893e-05
Complex V,0,0,1.9685967981472e-05,4.59189167492215e-05
Complex V,0,0,2.0043368104031e-05,4.55721343930909e-05
Complex V,0,0,2.040076822659e-05,4.49016241759702e-05
Complex V,0,0,2.06795158182553e-05,4.4244622051419e-05
Complex V,0,0,2.07631400957549e-05,4.36008614241475e-05
Complex V,0,0,2.08467643732544e-05,4.29700748947684e-05
Complex V,0,0,2.0930388650754e-05,3.72907274177965e-05
Complex V,0,0,2.09554759340039e-05,3.58095841369783e-05
Complex V,0,0,2.09805632172538e-05,3.44162647440706e-05
Complex V,0,0,2.10056505005037e-05,3.31053543941725e-05
Complex V,0,0,2.10131766854786e-05,3.1872055876622e-05
Complex V,0,0,2.10207028704536e-05,3.06378841043004e-05
Complex V,0,0,2.10282290554286e-05,2.94815265683402e-05
Complex V,0,0,2.1030486910921e-05,2.83980906040915e-05
Complex V,0,0,2.10327447664135e-05,2.73829750892301e-05
Complex V,0,0,2.1035002621906e-05,2.61605755823473e-05
Complex V,0,0,2.10356799785538e-05,2.50372172826739e-05
Complex V,0,0,2.10363573352015e-05,2.40049325889603e-05
Complex V,0,0,2.10370346918493e-05,2.30563236270915e-05
Complex V,0,0,2.1037712048497e-05,2.19147731079072e-05
Complex V,0,0,2.10379152554913e-05,2.08949147457538e-05
Complex V,0,0,2.10381184624857e-05,1.99833763153694e-05
Complex V,0,0,2.103832166948e-05,1.97291641995927e-05
Complex V,0,0,2.10383826315783e-05,1.94833725737423e-05
Complex V,0,0,2.10384435936766e-05,1.94833678170269e-05
Complex V,0,0,2.10385045557749e-05,1.94833630602952e-05
Complex V,0,0,2.10385655178732e-05,1.94833583035598e-05
Complex V,0,0,2.10385838065027e-05,1.94833568765403e-05
Complex V,0,0,2.10386020951322e-05,1.94833567481085e-05
Complex V,0,0,2.10386203837616e-05,1.94833566196768e-05
Complex V,0,0,2.10386258703505e-05,1.9483356491245e-05
Complex V,0,0,2.10386313569393e-05,1.94833563628132e-05
Complex V,0,0,2.10386368435282e-05,1.94833562343814e-05
Complex V,0,0,2.1038642330117e-05,1.94833558490864e-05
Complex V,0,0,2.10386439760937e-05,1.94833554637913e-05
Complex V,0,0,2.10386444698867e-05,1.94833550784962e-05
Complex V,0,0,2.10386449636797e-05,1.94833546932011e-05
Complex V,0,0,2.10386454574727e-05,1.9483354307906e-05
Complex V,0,0,2.10386459512657e-05,1.94833531520209e-05
Complex V,0,0,2.10386460994036e-05,1.94833519961361e-05
Complex V,0,0,2.10386462475415e-05,1.94833508402514e-05
Complex V,0.05,7.5465,0,0
Complex V,0.05,7.5465,9.88731394267737e-08,4.09220016753508e-07
Complex V,0.05,7.5465,1.07771721975183e-07,8.17734400389018e-07
Complex V,0.05,7.5465,1.16670304523593e-07,1.22552937104602e-06
Complex V,0.05,7.5465,1.25568887072003e-07,1.80958026553434e-06
Complex V,0.05,7.5465,1.3149690323794e-07,2.39216015272481e-06
Complex V,0.05,7.5465,1.37424919403877e-07,2.97326303231056e-06
Complex V,0.05,7.5465,1.4131184104122e-07,4.3795503132079e-06
Complex V,0.05,7.5465,1.45198762678563e-07,5.77729218182076e-06
Complex V,0.05,7.5465,1.49085684315906e-07,7.1664301451854e-06
Complex V,0.05,7.5465,1.50743385006969e-07,2.03506663901599e-05
Complex V,0.05,7.5465,1.52401085698032e-07,3.27669480693095e-05
Complex V,0.05,7.5465,1.54058786389096e-07,4.44407625476751e-05
Complex V,0.05,7.5465,1.55716487080159e-07,7.93884035175382e-05
Complex V,0.05,7.5465,1.62714477828822e-07,0.000107671612815897
Complex V,0.05,7.5465,1.69712468577485e-07,0.000130235094218377
Complex V,0.05,7.5465,1.76710459326149e-07,0.000148018905897557
Complex V,0.05,7.5465,1.99135547896264e-07,0.000172801816953268
Complex V,0.05,7.5465,2.21560636466379e-07,0.000186170551205124
Complex V,0.05,7.5465,2.43985725036494e-07,0.000192139859676161
Complex V,0.05,7.5465,2.66410813606609e-07,0.000193253942490749
Complex V,0.05,7.5465,3.12647403776984e-07,0.000191156171191686
Complex V,0.05,7.5465,3.58883993947359e-07,0.00018405979774767
Complex V,0.05,7.5465,4.05120584117734e-07,0.000174702696774223
Complex V,0.05,7.5465,4.51357174288109e-07,0.000164558418648945
Complex V,0.05,7.5465,4.97593764458484e-07,0.000154320718130276
Complex V,0.05,7.5465,5.64618398960261e-07,0.000144335868781656
Complex V,0.05,7.5465,6.31643033462038e-07,0.000129768612176224
Complex V,0.05,7.5465,6.98667667963816e-07,0.000116598783729297
Complex V,0.05,7.5465,7.65692302465593e-07,0.000104845352814989
Complex V,0.05,7.5465,8.3271693696737e-07,9.43834607636557e-05
Complex V,0.05,7.5465,9.02080602259131e-07,9.14746528614761e-05
Complex V,0.05,7.5465,9.71444267550891e-07,8.86650005161519e-05
Complex V,0.05,7.5465,1.04080793284265e-06,8.59534257794772e-05
Complex V,0.05,7.5465,1.11017159813441e-06,8.33378045351784e-05
Complex V,0.05,7.5465,1.17953526342617e-06,8.08149773790939e-05
Complex V,0.05,7.5465,1.29275055143368e-06,7.25245840722964e-05
Complex V,0.05,7.5465,1.40596583944119e-06,6.52372290239421e-05
Complex V,0.05,7.5465,1.5191811274487e-06,5.88310688029309e-05
Complex V,0.05,7.5465,1.63239641545621e-06,5.70640087059124e-05
Complex V,0.05,7.5465,1.74561170346373e-06,5.536415602399e-05
Complex V,0.05,7.5465,1.99146385372603e-06,5.37289614367376e-05
Complex V,0.05,7.5465,2.23731600398833e-06,5.21558851549735e-05
Complex V,0.05,7.5465,2.48316815425064e-06,5.06425241801013e-05
Complex V,0.05,7.5465,2.72902030451294e-06,4.93729686228128e-05
Complex V,0.05,7.5465,2.97487245477525e-06,4.8145347144203e-05
Complex V,0.05,7.5465,3.47955056656131e-06,4.69583399642301e-05
Complex V,0.05,7.5465,3.98422867834737e-06,4.66100356038587e-05
Complex V,0.05,7.5465,4.48890679013343e-06,4.62652219822819e-05
Complex V,0.05,7.5465,4.99358490191949e-06,4.59238690543894e-05
Complex V,0.05,7.5465,5.49826301370555e-06,4.55859452759752e-05
Complex V,0.05,7.5465,6.82678126756533e-06,4.45922872488774e-05
Complex V,0.05,7.5465,8.15529952142512e-06,4.36282698475952e-05
Complex V,0.05,7.5465,9.48381777528491e-06,4.2693035930309e-05
Complex V,0.05,7.5465,1.08123360291447e-05,4.1785725326372e-05
Complex V,0.05,7.5465,1.21408542830045e-05,4.0002965643814e-05
Complex V,0.05,7.5465,1.61119667558821e-05,3.83279008371212e-05
Complex V,0.05,7.5465,1.73033004977454e-05,3.67541589373322e-05
Complex V,0.05,7.5465,1.84946342396087e-05,3.52755991611697e-05
Complex V,0.05,7.5465,1.9685967981472e-05,3.37451548055722e-05
Complex V,0.05,7.5465,2.0043368104031e-05,3.23166522768876e-05
Complex V,0.05,7.5465,2.040076822659e-05,3.09833149549331e-05
Complex V,0.05,7.5465,2.06795158182553e-05,2.97387964214833e-05
Complex V,0.05,7.5465,2.07631400957549e-05,2.86923477839053e-05
Complex V,0.05,7.5465,2.08467643732544e-05,2.77086877359695e-05
Complex V,0.05,7.5465,2.0930388650754e-05,2.67840410852242e-05
Complex V,0.05,7.5465,2.09554759340039e-05,2.59148728712858e-05
Complex V,0.05,7.5465,2.09805632172538e-05,2.57254510274908e-05
Complex V,0.05,7.5465,2.10056505005037e-05,2.5538640758212e-05
Complex V,0.05,7.5465,2.10131766854786e-05,2.53544198932467e-05
Complex V,0.05,7.5465,2.10207028704536e-05,2.51727598277252e-05
Complex V,0.05,7.5465,2.10282290554286e-05,2.42282657037583e-05
Complex V,0.05,7.5465,2.1030486910921e-05,2.33521818318581e-05
Complex V,0.05,7.5465,2.10327447664135e-05,2.25402987948046e-05
Complex V,0.05,7.5465,2.1035002621906e-05,2.18490363480056e-05
Complex V,0.05,7.5465,2.10356799785538e-05,2.11996556681948e-05
Complex V,0.05,7.5465,2.10363573352015e-05,2.05929742132665e-05
Complex V,0.05,7.5465,2.10370346918493e-05,2.00273979280236e-05
Complex V,0.05,7.5465,2.1037712048497e-05,2.00273613982032e-05
Complex V,0.05,7.5465,2.10379152554913e-05,2.00273248632163e-05
Complex V,0.05,7.5465,2.10381184624857e-05,2.00272883268001e-05
Complex V,0.05,7.5465,2.103832166948e-05,2.00272517902893e-05
Complex V,0.05,7.5465,2.10383826315783e-05,2.00272419254629e-05
Complex V,0.05,7.5465,2.10384435936766e-05,2.00272320606653e-05
Complex V,0.05,7.5465,2.10385045557749e-05,2.00272291012301e-05
Complex V,0.05,7.5465,2.10385655178732e-05,2.00272261417962e-05
Complex V,0.05,7.5465,2.10385838065027e-05,2.00272252539662e-05
Complex V,0.05,7.5465,2.10386020951322e-05,2.00272252467747e-05
Complex V,0.05,7.5465,2.10386203837616e-05,2.00272252395832e-05
Complex V,0.05,7.5465,2.10386258703505e-05,2.00272252323917e-05
Complex V,0.05,7.5465,2.10386313569393e-05,2.00272252252002e-05
Complex V,0.05,7.5465,2.10386368435282e-05,2.00272252036259e-05
Complex V,0.05,7.5465,2.1038642330117e-05,2.00272251820515e-05
Complex V,0.05,7.5465,2.10386439760937e-05,2.00272251604772e-05
Complex V,0.05,7.5465,2.10386444698867e-05,2.00272251389029e-05
Complex V,0.05,7.5465,2.10386449636797e-05,2.00272249231603e-05
