complex,adjustment,param_value,time,ATP
Complex III,0,0,0,0
Complex III,0,0,9.88731394267737e-08,1.3593344159552e-06
Complex III,0,0,1.07771721975183e-07,1.4815246244416e-06
Complex III,0,0,1.16670304523593e-07,1.60363669135922e-06
Complex III,0,0,1.25568887072003e-07,1.72568184478321e-06
Complex III,0,0,1.3149690323794e-07,1.80769533583104e-06
Complex III,0,0,1.37424919403877e-07,1.88967916158242e-06
Complex III,0,0,1.4131184104122e-07,1.93032534577748e-06
Complex III,0,0,1.45198762678563e-07,1.970964148879e-06
Complex III,0,0,1.49085684315906e-07,2.00285784586522e-06
Complex III,0,0,1.50743385006969e-07,2.03474707615154e-06
Complex III,0,0,1.52401085698032e-07,2.06663186824348e-06
Complex III,0,0,1.54058786389096e-07,2.11496811374701e-06
Complex III,0,0,1.55716487080159e-07,2.16329480570493e-06
Complex III,0,0,1.62714477828822e-07,2.21161150187963e-06
Complex III,0,0,1.69712468577485e-07,2.25991804538534e-06
Complex III,0,0,1.76710459326149e-07,2.36435332072672e-06
Complex III,0,0,1.99135547896264e-07,2.4687409891315e-06
Complex III,0,0,2.21560636466379e-07,2.5730810683398e-06
Complex III,0,0,2.43985725036494e-07,2.67737357997008e-06
Complex III,0,0,2.66410813606609e-07,2.99476822763242e-06
Complex III,0,0,3.12647403776984e-07,3.3117222487975e-06
Complex III,0,0,3.58883993947359e-07,3.62823619749418e-06
Complex III,0,0,4.05120584117734e-07,3.9443106225908e-06
Complex III,0,0,4.51357174288109e-07,4.25994607231623e-06
Complex III,0,0,4.97593764458484e-07,4.86547915529246e-06
Complex III,0,0,5.64618398960261e-07,5.46939593907575e-06
Complex III,0,0,6.31643033462038e-07,6.07170030439562e-06
Complex III,0,0,6.98667667963816e-07,6.67239612215791e-06
Complex III,0,0,7.65692302465593e-07,7.27148725368662e-06
Complex III,0,0,8.3271693696737e-07,7.86897755123981e-06
Complex III,0,0,9.02080602259131e-07,8.15750817848183e-06
Complex III,0,0,9.71444267550891e-07,8.44566534547173e-06
Complex III,0,0,1.04080793284265e-06,8.73344948642415e-06
Complex III,0,0,1.11017159813441e-06,9.02086103509767e-06
Complex III,0,0,1.17953526342617e-06,9.30790042467134e-06
Complex III,0,0,1.29275055143368e-06,9.97074313049207e-06
Complex III,0,0,1.40596583944119e-06,1.06316005289121e-05
Complex III,0,0,1.5191811274487e-06,1.12904778006623e-05
Complex III,0,0,1.63239641545621e-06,1.19473802655369e-05
Complex III,0,0,1.74561170346373e-06,1.40192328432674e-05
Complex III,0,0,1.99146385372603e-06,1.60714196736399e-05
Complex III,0,0,2.23731600398833e-06,1.81041030168011e-05
Complex III,0,0,2.48316815425064e-06,2.01174490314838e-05
Complex III,0,0,2.72902030451294e-06,2.29890792941665e-05
Complex III,0,0,2.97487245477525e-06,2.5821277258234e-05
Complex III,0,0,3.47955056656131e-06,2.86145220019616e-05
Complex III,0,0,3.98422867834737e-06,3.13692922770005e-05
Complex III,0,0,4.48890679013343e-06,3.61159925558498e-05
Complex III,0,0,4.99358490191949e-06,4.07480019883208e-05
Complex III,0,0,5.49826301370555e-06,4.52677433757056e-05
Complex III,0,0,6.82678126756533e-06,4.96776317863837e-05
Complex III,0,0,8.15529952142512e-06,6.08333765245918e-05
Complex III,0,0,9.48381777528491e-06,7.12750070763663e-05
Complex III,0,0,1.08123360291447e-05,8.10424705355662e-05
Complex III,0,0,1.21408542830045e-05,0.000108472366614166
Complex III,0,0,1.61119667558821e-05,0.000123581831426693
Complex III,0,0,1.73033004977454e-05,0.000133684890411553
Complex III,0,0,1.84946342396087e-05,0.000140514768352107
Complex III,0,0,1.9685967981472e-05,0.000145285058311799
Complex III,0,0,2.0043368104031e-05,0.00014856230297249
Complex III,0,0,2.040076822659e-05,0.000150837857752533
Complex III,0,0,2.06795158182553e-05,0.000152414839852806
Complex III,0,0,2.07631400957549e-05,0.000153503261931586
Complex III,0,0,2.08467643732544e-05,0.000154248830892524
Complex III,0,0,2.0930388650754e-05,0.000154752202772698
Complex III,0,0,2.09554759340039e-05,0.000155090867916129
Complex III,0,0,2.09805632172538e-05,0.000155317040942483
Complex III,0,0,2.10056505005037e-05,0.000155466423587746
Complex III,0,0,2.10131766854786e-05,0.000155564528106702
Complex III,0,0,2.10207028704536e-05,0.000155629720183732
Complex III,0,0,2.10282290554286e-05,0.000155649262093302
Complex III,0,0,2.1030486910921e-05,0.00015566879675624
Complex III,0,0,2.10327447664135e-05,0.000155688324173844
Complex III,0,0,2.1035002621906e-05,0.000155707844347795
Complex III,0,0,2.10356799785538e-05,0.000155716341404855
Complex III,0,0,2.10363573352015e-05,0.000155724837089107
Complex III,0,0,2.10370346918493e-05,0.000155733331400757
Complex III,0,0,2.1037712048497e-05,0.000155741824339987
Complex III,0,0,2.10379152554913e-05,0.00015574437195416
Complex III,0,0,2.10381184624857e-05,0.000155746919444834
Complex III,0,0,2.103832166948e-05,0.000155749466812014
Complex III,0,0,2.10383826315783e-05,0.000155752014055705
Complex III,0,0,2.10384435936766e-05,0.000155754561175909
Complex III,0,0,2.10385045557749e-05,0.000155755454138626
Complex III,0,0,2.10385655178732e-05,0.000155756347086166
Complex III,0,0,2.10385838065027e-05,0.000155756614967468
Complex III,0,0,2.10386020951322e-05,0.000155756882847404
Complex III,0,0,2.10386203837616e-05,0.000155757150725975
Complex III,0,0,2.10386258703505e-05,0.00015575723108928
Complex III,0,0,2.10386313569393e-05,0.000155757311452461
Complex III,0,0,2.10386368435282e-05,0.000155757335561392
Complex III,0,0,2.1038642330117e-05,0.000155757359670312
Complex III,0,0,2.10386439760937e-05,0.000155757366902985
Complex III,0,0,2.10386444698867e-05,0.000155757374135658
Complex III,0,0,2.10386449636797e-05,0.00015575738136833
Complex III,0,0,2.10386454574727e-05,0.000155757388601001
Complex III,0,0,2.10386459512657e-05,0.000155757390770802
Complex III,0,0,2.10386460994036e-05,0.000155757392940603
Complex III,0,0,2.10386462475415e-05,0.000155757395110403
Complex III,0.05,0.00458685,0,0
Complex III,0.05,0.00458685,9.88731394267737e-08,1.3593344159552e-06
Complex III,0.05,0.00458685,1.07771721975183e-07,1.4815246244416e-06
Complex III,0.05,0.00458685,1.16670304523593e-07,1.60363669135922e-06
Complex III,0.05,0.00458685,1.25568887072003e-07,1.72568184478321e-06
Complex III,0.05,0.00458685,1.3149690323794e-07,1.80767010019462e-06
Complex III,0.05,0.00458685,1.37424919403877e-07,1.88962870822625e-06
Complex III,0.05,0.00458685,1.4131184104122e-07,1.93032958445706e-06
Complex III,0.05,0.00458685,1.45198762678563e-07,1.97102306030834e-06
Complex III,0.05,0.00458685,1.49085684315906e-07,2.00294781408511e-06
Complex III,0.05,0.00458685,1.50743385006969e-07,2.03486809241619e-06
Complex III,0.05,0.00458685,1.52401085698032e-07,2.06678392389799e-06
Complex III,0.05,0.00458685,1.54058786389096e-07,2.11517152324518e-06
Complex III,0.05,0.00458685,1.55716487080159e-07,2.16354954867152e-06
Complex III,0.05,0.00458685,1.62714477828822e-07,2.21191755704109e-06
Complex III,0.05,0.00458685,1.69712468577485e-07,2.26027539115064e-06
Complex III,0.05,0.00458685,1.76710459326149e-07,2.36439063093409e-06
Complex III,0.05,0.00458685,1.99135547896264e-07,2.46845855496324e-06
Complex III,0.05,0.00458685,2.21560636466379e-07,2.57247918086314e-06
Complex III,0.05,0.00458685,2.43985725036494e-07,2.67645253007808e-06
Complex III,0.05,0.00458685,2.66410813606609e-07,2.99968787885327e-06
Complex III,0.05,0.00458685,3.12647403776984e-07,3.32246623613311e-06
Complex III,0.05,0.00458685,3.58883993947359e-07,3.64478818696948e-06
Complex III,0.05,0.00458685,4.05120584117734e-07,3.96665431097572e-06
Complex III,0.05,0.00458685,4.51357174288109e-07,4.28806518715561e-06
Complex III,0.05,0.00458685,4.97593764458484e-07,4.90264730955285e-06
Complex III,0.05,0.00458685,5.64618398960261e-07,5.51556423019214e-06
Complex III,0.05,0.00458685,6.31643033462038e-07,6.12682000753657e-06
Complex III,0.05,0.00458685,6.98667667963816e-07,6.73641868954483e-06
Complex III,0.05,0.00458685,7.65692302465593e-07,7.34436431400977e-06
Complex III,0.05,0.00458685,8.3271693696737e-07,7.95066090913346e-06
Complex III,0.05,0.00458685,9.02080602259131e-07,8.26155078253914e-06
Complex III,0.05,0.00458685,9.71444267550891e-07,8.57200724138328e-06
Complex III,0.05,0.00458685,1.04080793284265e-06,8.88203060546783e-06
Complex III,0.05,0.00458685,1.11017159813441e-06,9.19162131913533e-06
Complex III,0.05,0.00458685,1.17953526342617e-06,9.83006596608564e-06
Complex III,0.05,0.00458685,1.29275055143368e-06,1.04666556439075e-05
Complex III,0.05,0.00458685,1.40596583944119e-06,1.11014067922673e-05
Complex III,0.05,0.00458685,1.5191811274487e-06,1.26621102858747e-05
Complex III,0.05,0.00458685,1.63239641545621e-06,1.42121263766474e-05
Complex III,0.05,0.00458685,1.74561170346373e-06,1.57512229086451e-05
Complex III,0.05,0.00458685,1.99146385372603e-06,1.72793628309389e-05
Complex III,0.05,0.00458685,2.23731600398833e-06,2.01164623106892e-05
Complex III,0.05,0.00458685,2.48316815425064e-06,2.29155929683475e-05
Complex III,0.05,0.00458685,2.72902030451294e-06,2.56772348627354e-05
Complex III,0.05,0.00458685,2.97487245477525e-06,2.84018617481162e-05
Complex III,0.05,0.00458685,3.47955056656131e-06,3.10899204334075e-05
Complex III,0.05,0.00458685,3.98422867834737e-06,3.65650688307624e-05
Complex III,0.05,0.00458685,4.48890679013343e-06,4.18877655835327e-05
Complex III,0.05,0.00458685,4.99358490191949e-06,4.7061779406745e-05
Complex III,0.05,0.00458685,5.49826301370555e-06,5.20907879846301e-05
Complex III,0.05,0.00458685,6.82678126756533e-06,5.697837902852e-05
Complex III,0.05,0.00458685,8.15529952142512e-06,6.91019380893912e-05
Complex III,0.05,0.00458685,9.48381777528491e-06,8.03458153349782e-05
Complex III,0.05,0.00458685,1.08123360291447e-05,9.07639351863298e-05
Complex III,0.05,0.00458685,1.21408542830045e-05,0.000100408750309097
Complex III,0.05,0.00458685,1.61119667558821e-05,0.000122187741300494
Complex III,0.05,0.00458685,1.73033004977454e-05,0.000132878760953369
Complex III,0.05,0.00458685,1.84946342396087e-05,0.000140339213902889
Complex III,0.05,0.00458685,1.9685967981472e-05,0.000145392024640763
Complex III,0.05,0.00458685,2.0043368104031e-05,0.0001488815518311
Complex III,0.05,0.00458685,2.040076822659e-05,0.000151300459627947
Complex III,0.05,0.00458685,2.06795158182553e-05,0.000152977223465178
Complex III,0.05,0.00458685,2.07631400957549e-05,0.00015413415146854
Complex III,0.05,0.00458685,2.08467643732544e-05,0.000154926355887115
Complex III,0.05,0.00458685,2.0930388650754e-05,0.000155458479247423
Complex III,0.05,0.00458685,2.09554759340039e-05,0.000155817996813193
Complex III,0.05,0.00458685,2.09805632172538e-05,0.000156057218968101
Complex III,0.05,0.00458685,2.10056505005037e-05,0.000156216089246362
Complex III,0.05,0.00458685,2.10131766854786e-05,0.00015632009523426
Complex III,0.05,0.00458685,2.10207028704536e-05,0.000156389444416842
Complex III,0.05,0.00458685,2.10282290554286e-05,0.000156410231111358
Complex III,0.05,0.00458685,2.1030486910921e-05,0.000156431009477519
Complex III,0.05,0.00458685,2.10327447664135e-05,0.000156451779516934
Complex III,0.05,0.00458685,2.1035002621906e-05,0.000156472541231684
Complex III,0.05,0.00458685,2.10356799785538e-05,0.000156481552780921
Complex III,0.05,0.00458685,2.10363573352015e-05,0.000156490562761498
Complex III,0.05,0.00458685,2.10370346918493e-05,0.000156499571173668
Complex III,0.05,0.00458685,2.1037712048497e-05,0.000156508578017656
Complex III,0.05,0.00458685,2.10379152554913e-05,0.000156511279765088
Complex III,0.05,0.00458685,2.10381184624857e-05,0.000156513981371408
Complex III,0.05,0.00458685,2.103832166948e-05,0.000156516682836619
Complex III,0.05,0.00458685,2.10383826315783e-05,0.000156519384160728
