complex,adjustment,param_value,time,ATP
Complex I,0.05,0.0184615,1.16670304523593e-07,1.60363669135922e-06
Complex I,0.05,0.0184615,1.25568887072003e-07,1.72568184478321e-06
Complex I,0.05,0.0184615,1.3149690323794e-07,1.80741484500538e-06
Complex I,0.05,0.0184615,1.37424919403877e-07,1.8891183787683e-06
Complex I,0.05,0.0184615,1.4131184104122e-07,1.91362585039944e-06
Complex I,0.05,0.0184615,1.45198762678563e-07,1.9381305536025e-06
Complex I,0.05,0.0184615,1.49085684315906e-07,1.96263261661939e-06
Complex I,0.05,0.0184615,1.50743385006969e-07,2.01225775482656e-06
Complex I,0.05,0.0184615,1.52401085698032e-07,2.04189929512861e-06
Complex I,0.05,0.0184615,1.54058786389096e-07,2.07153707176353e-06
Complex I,0.05,0.0184615,1.55716487080159e-07,2.08042766320331e-06
Complex I,0.05,0.0184615,1.62714477828822e-07,2.08931790853267e-06
Complex I,0.05,0.0184615,1.69712468577485e-07,2.09820780865002e-06
Complex I,0.05,0.0184615,1.76710459326149e-07,2.10709736398624e-06
Complex I,0.05,0.0184615,1.99135547896264e-07,2.12948285066495e-06
Complex I,0.05,0.0184615,2.21560636466379e-07,2.15186615215076e-06
Complex I,0.05,0.0184615,2.43985725036494e-07,2.17424726854947e-06
Complex I,0.05,0.0184615,2.66410813606609e-07,2.19662619980722e-06
Complex I,0.05,0.0184615,3.12647403776984e-07,2.21900294604157e-06
Complex I,0.05,0.0184615,3.58883993947359e-07,2.30222766572607e-06
Complex I,0.05,0.0184615,4.05120584117734e-07,2.38542216014852e-06
Complex I,0.05,0.0184615,4.51357174288109e-07,2.46858643892122e-06
Complex I,0.05,0.0184615,4.97593764458484e-07,2.55172051193328e-06
Complex I,0.05,0.0184615,5.64618398960261e-07,2.6584319539315e-06
Complex I,0.05,0.0184615,6.31643033462038e-07,2.76509362261661e-06
Complex I,0.05,0.0184615,6.98667667963816e-07,2.8717055394745e-06
Complex I,0.05,0.0184615,7.65692302465593e-07,2.97826772570442e-06
Complex I,0.05,0.0184615,8.3271693696737e-07,3.08478020222202e-06
Complex I,0.05,0.0184615,9.02080602259131e-07,3.26815308137282e-06
Complex I,0.05,0.0184615,9.71444267550891e-07,3.45137860501411e-06
Complex I,0.05,0.0184615,1.04080793284265e-06,3.63445687967463e-06
Complex I,0.05,0.0184615,1.11017159813441e-06,3.81738801183212e-06
Complex I,0.05,0.0184615,1.17953526342617e-06,4.00017210788966e-06
Complex I,0.05,0.0184615,1.29275055143368e-06,4.31712792780281e-06
Complex I,0.05,0.0184615,1.40596583944119e-06,4.6336415253825e-06
Complex I,0.05,0.0184615,1.5191811274487e-06,4.94971345561762e-06
Complex I,0.05,0.0184615,1.63239641545621e-06,5.26534427278458e-06
Complex I,0.05,0.0184615,1.74561170346373e-06,5.58053453046666e-06
Complex I,0.05,0.0184615,1.99146385372603e-06,6.47580474332201e-06
Complex I,0.05,0.0184615,2.23731600398833e-06,7.31731245529541e-06
Complex I,0.05,0.0184615,2.48316815425064e-06,8.15566500027893e-06
Complex I,0.05,0.0184615,2.72902030451294e-06,8.99087260036522e-06
Complex I,0.05,0.0184615,2.97487245477525e-06,9.82294569577855e-06
Complex I,0.05,0.0184615,3.47955056656131e-06,1.13622837625698e-05
Complex I,0.05,0.0184615,3.98422867834737e-06,1.2890882705268e-05
Complex I,0.05,0.0184615,4.48890679013343e-06,1.44088086095623e-05
Complex I,0.05,0.0184615,4.99358490191949e-06,1.59161284262132e-05
Complex I,0.05,0.0184615,5.49826301370555e-06,1.89363822910274e-05
Complex I,0.05,0.0184615,6.82678126756533e-06,2.19139669163363e-05
Complex I,0.05,0.0184615,8.15529952142512e-06,2.48494112869225e-05
Complex I,0.05,0.0184615,9.48381777528491e-06,2.7743249274412e-05
Complex I,0.05,0.0184615,1.08123360291447e-05,2.9400190825038e-05
Complex I,0.05,0.0184615,1.21408542830045e-05,3.10422272416138e-05
Complex I,0.05,0.0184615,1.61119667558821e-05,3.26705118373206e-05
Complex I,0.05,0.0184615,1.73033004977454e-05,3.89051419764639e-05
Complex I,0.05,0.0184615,1.84946342396087e-05,4.49433499797675e-05
Complex I,0.05,0.0184615,1.9685967981472e-05,5.07875587380208e-05
Complex I,0.05,0.0184615,2.0043368104031e-05,7.05177719863398e-05
Complex I,0.05,0.0184615,2.040076822659e-05,8.8055987222318e-05
Complex I,0.05,0.0184615,2.06795158182553e-05,0.000103567478547298
Complex I,0.05,0.0184615,2.07631400957549e-05,0.000111103708348202
Complex I,0.05,0.0184615,2.08467643732544e-05,0.000116738776548138
Complex I,0.05,0.0184615,2.0930388650754e-05,0.000120656359926106
Complex I,0.05,0.0184615,2.09554759340039e-05,0.000123371828577875
Complex I,0.05,0.0184615,2.09805632172538e-05,0.000125244101267224
Complex I,0.05,0.0184615,2.10056505005037e-05,0.000126526575293453
Complex I,0.05,0.0184615,2.10131766854786e-05,0.000127397490327051
Complex I,0.05,0.0184615,2.10207028704536e-05,0.000127977840239362
Complex I,0.05,0.0184615,2.10282290554286e-05,0.000128367581262282
Complex I,0.05,0.0184615,2.1030486910921e-05,0.000128623223386013
Complex I,0.05,0.0184615,2.10327447664135e-05,0.000128795500652742
Complex I,0.05,0.0184615,2.1035002621906e-05,0.000128847116250158
Complex I,0.05,0.0184615,2.10356799785538e-05,0.000128898700699518
Complex I,0.05,0.0184615,2.10363573352015e-05,0.000128950254010761
Complex I,0.05,0.0184615,2.10370346918493e-05,0.000129001776196641
Complex I,0.05,0.0184615,2.1037712048497e-05,0.000129023756819405
Complex I,0.05,0.0184615,2.10379152554913e-05,0.000129045731775607
Complex I,0.05,0.0184615,2.10381184624857e-05,0.000129067701066713
Complex I,0.05,0.0184615,2.103832166948e-05,0.000129089664694042
Complex I,0.05,0.0184615,2.10383826315783e-05,0.000129111622658782
Complex I,0.05,0.0184615,2.10384435936766e-05,0.000129118208944173
Complex I,0.05,0.0184615,2.10385045557749e-05,0.000129120184730435
Complex I,0.05,0.0184615,2.10385655178732e-05,0.000129122160470844
Complex I,0.05,0.0184615,2.10385838065027e-05,0.000129124136165399
Complex I,0.05,0.0184615,2.10386020951322e-05,0.000129126111814103
Complex I,0.05,0.0184615,2.10386203837616e-05,0.000129126704499772
Complex I,0.05,0.0184615,2.10386258703505e-05,0.000129127297181316
Complex I,0.05,0.0184615,2.10386313569393e-05,0.000129127474984974
Complex I,0.05,0.0184615,2.10386368435282e-05,0.000129127652788261
Complex I,0.05,0.0184615,2.1038642330117e-05,0.000129127830591176
Complex I,0.05,0.0184615,2.10386439760937e-05,0.000129128008393721
Complex I,0.05,0.0184615,2.10386444698867e-05,0.000129128186195893
Complex I,0.05,0.0184615,2.10386449636797e-05,0.000129128239536473
Complex I,0.05,0.0184615,2.10386454574727e-05,0.000129128292877019
Complex I,0.05,0.0184615,2.10386459512657e-05,0.000129128308879176
Complex I,0.05,0.0184615,2.10386460994036e-05,0.00012912832488133
Complex I,0.05,0.0184615,2.10386462475415e-05,0.000129128329681976
Complex I,0.1,0.036923,0,0
Complex I,0.1,0.036923,9.88731394267737e-08,1.3593344159552e-06
Complex I,0.1,0.036923,1.07771721975183e-07,1.4815246244416e-06
Complex I,0.1,0.036923,1.16670304523593e-07,1.60363669135922e-06
Complex I,0.1,0.036923,1.25568887072003e-07,1.72568184478321e-06
Complex I,0.1,0.036923,1.3149690323794e-07,1.8073897610213e-06
Complex I,0.1,0.036923,1.37424919403877e-07,1.88906822854937e-06
Complex I,0.1,0.036923,1.4131184104122e-07,1.9135681824966e-06
Complex I,0.1,0.036923,1.45198762678563e-07,1.93806536971214e-06
Complex I,0.1,0.036923,1.49085684315906e-07,1.96255991836122e-06
Complex I,0.1,0.036923,1.50743385006969e-07,2.01289031526676e-06
Complex I,0.1,0.036923,1.52401085698032e-07,2.04812409181624e-06
Complex I,0.1,0.036923,1.54058786389096e-07,2.05869320090852e-06
Complex I,0.1,0.036923,1.55716487080159e-07,2.06926182217038e-06
Complex I,0.1,0.036923,1.62714477828822e-07,2.07982995568365e-06
Complex I,0.1,0.036923,1.69712468577485e-07,2.09039760190488e-06
Complex I,0.1,0.036923,1.76710459326149e-07,2.11872437575334e-06
Complex I,0.1,0.036923,1.99135547896264e-07,2.14704765014204e-06
Complex I,0.1,0.036923,2.21560636466379e-07,2.17536742559044e-06
Complex I,0.1,0.036923,2.43985725036494e-07,2.20368370250379e-06
Complex I,0.1,0.036923,2.66410813606609e-07,2.24607614750463e-06
Complex I,0.1,0.036923,3.12647403776984e-07,2.28846075089983e-06
Complex I,0.1,0.036923,3.58883993947359e-07,2.33083751397822e-06
Complex I,0.1,0.036923,4.05120584117734e-07,2.37320643804713e-06
Complex I,0.1,0.036923,4.51357174288109e-07,2.5299005190866e-06
Complex I,0.1,0.036923,4.97593764458484e-07,2.68648737159353e-06
Complex I,0.1,0.036923,5.64618398960261e-07,2.84296706184177e-06
Complex I,0.1,0.036923,6.31643033462038e-07,2.99933965595165e-06
Complex I,0.1,0.036923,6.98667667963816e-07,3.15560521989959e-06
Complex I,0.1,0.036923,7.65692302465593e-07,3.35849558914914e-06
Complex I,0.1,0.036923,8.3271693696737e-07,3.56120550248697e-06
Complex I,0.1,0.036923,9.02080602259131e-07,3.76373510432799e-06
Complex I,0.1,0.036923,9.71444267550891e-07,3.96608453897592e-06
Complex I,0.1,0.036923,1.04080793284265e-06,4.1682539506193e-06
Complex I,0.1,0.036923,1.11017159813441e-06,4.45367714931095e-06
Complex I,0.1,0.036923,1.17953526342617e-06,4.73874146322001e-06
Complex I,0.1,0.036923,1.29275055143368e-06,5.02344728749764e-06
Complex I,0.1,0.036923,1.40596583944119e-06,5.30779502578713e-06
Complex I,0.1,0.036923,1.5191811274487e-06,5.7420012104442e-06
Complex I,0.1,0.036923,1.63239641545621e-06,6.1753721493601e-06
Complex I,0.1,0.036923,1.74561170346373e-06,6.60790927105302e-06
Complex I,0.1,0.036923,1.99146385372603e-06,7.03961402039508e-06
Complex I,0.1,0.036923,2.23731600398833e-06,7.92140247849688e-06
Complex I,0.1,0.036923,2.48316815425064e-06,8.79971629995946e-06
Complex I,0.1,0.036923,2.72902030451294e-06,9.67456754596858e-06
Complex I,0.1,0.036923,2.97487245477525e-06,1.05459684973182e-05
Complex I,0.1,0.036923,3.47955056656131e-06,1.20820301818641e-05
Complex I,0.1,0.036923,3.98422867834737e-06,1.36073595290955e-05
Complex I,0.1,0.036923,4.48890679013343e-06,1.51220227697378e-05
Complex I,0.1,0.036923,4.99358490191949e-06,1.66260868933811e-05
Complex I,0.1,0.036923,5.49826301370555e-06,1.94638983576413e-05
Complex I,0.1,0.036923,6.82678126756533e-06,2.22639033340413e-05
Complex I,0.1,0.036923,8.15529952142512e-06,2.50265444472161e-05
Complex I,0.1,0.036923,9.48381777528491e-06,2.77522679618546e-05
Complex I,0.1,0.036923,1.08123360291447e-05,2.9455247098385e-05
Complex I,0.1,0.036923,1.21408542830045e-05,3.11426177751891e-05
Complex I,0.1,0.036923,1.61119667558821e-05,3.28154832648662e-05
Complex I,0.1,0.036923,1.73033004977454e-05,3.89425431080002e-05
Complex I,0.1,0.036923,1.84946342396087e-05,4.4881483090305e-05
Complex I,0.1,0.036923,1.9685967981472e-05,5.06340401950655e-05
Complex I,0.1,0.036923,2.0043368104031e-05,5.62041963616303e-05
Complex I,0.1,0.036923,2.040076822659e-05,6.79100300824161e-05
Complex I,0.1,0.036923,2.06795158182553e-05,7.87996500631288e-05
Complex I,0.1,0.036923,2.07631400957549e-05,8.89216391231307e-05
Complex I,0.1,0.036923,2.08467643732544e-05,9.83229773227132e-05
Complex I,0.1,0.036923,2.0930388650754e-05,0.000115035294557521
Complex I,0.1,0.036923,2.09554759340039e-05,0.000123634079576423
Complex I,0.1,0.036923,2.09805632172538e-05,0.000129740037766412
Complex I,0.1,0.036923,2.10056505005037e-05,0.000133951656736445
Complex I,0.1,0.036923,2.10131766854786e-05,0.000136877041086514
Complex I,0.1,0.036923,2.10207028704536e-05,0.000138905529168587
Complex I,0.1,0.036923,2.10282290554286e-05,0.000140303901717268
Complex I,0.1,0.036923,2.1030486910921e-05,0.000141248693348771
Complex I,0.1,0.036923,2.10327447664135e-05,0.000141892101462252
Complex I,0.1,0.036923,2.1035002621906e-05,0.000142322133243802
Complex I,0.1,0.036923,2.10356799785538e-05,0.000142610176689215
Complex I,0.1,0.036923,2.10363573352015e-05,0.000142798894487017
Complex I,0.1,0.036923,2.10370346918493e-05,0.00014292580329949
Complex I,0.1,0.036923,2.1037712048497e-05,0.000142963830163696
Complex I,0.1,0.036923,2.10379152554913e-05,0.000143001835925304
Complex I,0.1,0.036923,2.10381184624857e-05,0.000143039820590286
Complex I,0.1,0.036923,2.103832166948e-05,0.000143077784166316
Complex I,0.1,0.036923,2.10383826315783e-05,0.00014309401256855
Complex I,0.1,0.036923,2.10384435936766e-05,0.000143110237116134
Complex I,0.1,0.036923,2.10385045557749e-05,0.000143126457809955
Complex I,0.1,0.036923,2.10385655178732e-05,0.000143142674650811
Complex I,0.1,0.036923,2.10385838065027e-05,0.000143158887639422
Complex I,0.1,0.036923,2.10386020951322e-05,0.000143163750784922
Complex I,0.1,0.036923,2.10386203837616e-05,0.00014316520966098
Complex I,0.1,0.036923,2.10386258703505e-05,0.000143166668505843
Complex I,0.1,0.036923,2.10386313569393e-05,0.00014316812731951
Complex I,0.1,0.036923,2.10386368435282e-05,0.000143169586101984
Complex I,0.1,0.036923,2.1038642330117e-05,0.000143170023730643
Complex I,0.1,0.036923,2.10386439760937e-05,0.000143170461356495
Complex I,0.1,0.036923,2.10386444698867e-05,0.000143170592643703
Complex I,0.1,0.036923,2.10386449636797e-05,0.000143170723930658
Complex I,0.1,0.036923,2.10386454574727e-05,0.000143170763316695
Complex I,0.1,0.036923,2.10386459512657e-05,0.00014317080270271
Complex I,0.1,0.036923,2.10386460994036e-05,0.000143170842088702
Complex I,0.1,0.036923,2.10386462475415e-05,0.000143170881474671
Complex I,0.15,0.0553845,0,0
Complex I,0.15,0.0553845,9.88731394267737e-08,1.3593344159552e-06
Complex I,0.15,0.0553845,1.07771721975183e-07,1.4815246244416e-06
Complex I,0.15,0.0553845,1.16670304523593e-07,1.60363669135922e-06
Complex I,0.15,0.0553845,1.25568887072003e-07,1.72568184478321e-06
Complex I,0.15,0.0553845,1.3149690323794e-07,1.80736477008953e-06
Complex I,0.15,0.0553845,1.37424919403877e-07,1.88901826436391e-06
Complex I,0.15,0.0553845,1.4131184104122e-07,1.9135107285128e-06
Complex I,0.15,0.0553845,1.45198762678563e-07,1.93800042761961e-06
Complex I,0.15,0.0553845,1.49085684315906e-07,1.96248748977313e-06
Complex I,0.15,0.0553845,1.50743385006969e-07,2.01352194634865e-06
